		159.925194	0.0234
		160.92693	0.1891
		161.926795	0.2551
		162.928728	0.249
		163.929171	0.2818
Ho	67	164.930319	1
Er	68	161.928775	0.0014
		163.929197	0.0161
		165.93029	0.3361
		166.932045	0.2293
		167.932368	0.2678
		169.93546	0.1493
Tm	69	168.934211	1
Yb	70	167.933894	0.0013
		169.934759	0.0304
		170.936322	0.1428
		171.9363777	0.2183
		172.9382068	0.1613
		173.9388581	0.3183
		175.942568	0.1276
Lu	71	174.9407679	0.9741
		175.9426824	0.0259
Hf	72	173.94004	0.0016
		175.9414018	0.0526
		176.94322	0.186
		177.9436977	0.2728
		178.9458151	0.1362
		179.9465488	0.3508
Ta	73	179.947466	0.00012
		180.947996	0.99988
W	74	179.946706	0.0012
		181.948206	0.265
		182.9502245	0.1431
		183.9509326	0.3064
		185.954362	0.2843
Re	75	184.9529557	0.374
		186.9557508	0.626
Os	76	183.952491	0.0002
		185.953838	0.0159
		186.9557479	0.0196
		187.955836	0.1324
		188.9581449	0.1615
		189.958445	0.2626
		191.961479	0.4078
Ir	77	190.960591	0.373
		192.962924	0.627
Pt	78	189.95993	0.00014
		191.961035	0.00782
		193.962664	0.32967
		194.964774	0.33832
		195.964935	0.25242
		197.967876	0.07163
Au	79	196.966552	1
Hg	80	195.965815	0.0015
		197.966752	0.0997
		198.968262	0.1687
		199.968309	0.231
		200.970285	0.1318
		201.970626	0.2986
		203.973476	0.0687
Tl	81	202.972329	0.29524
		204.974412	0.70476
Pb	82	203.973029	0.014
		205.974449	0.241
		206.975881	0.221
		207.976636	0.524
Bi	83	208.980383	1
Po	84	208.982416	1
		209.982857	0
At	85	209.987131	1
		210.987481	0
Rn	86	210.990585	0
		220.0113841	0
		222.0175705	1
Fr	87	223.0197307	1
Ra	88	223.018497	0
		224.020202	0
		226.0254026	1
		228.0310641	0
Ac	89	227.027747	1
Th	90	230.0331266	0
		232.0380504	1
Pa	91	231.0358789	1
U	92	233.039628	0
		234.0409456	0.000055
		235.0439231	0.0072
		236.0455619	0
		238.0507826	0.992745
Np	93	237.0481673	1
		239.0529314	0
Pu	94	238.0495534	0
		239.0521565	0
		240.0538075	0
		241.0568453	0
		242.0587368	0
		244.064198	1
Am	95	241.0568229	0
		243.0613727	1
Cm	96	243.0613822	0
		244.0627463	0
		245.0654856	0
		246.0672176	0
		247.070347	1
		248.072342	0
Bk	97	247.070299	1
		249.07498	0
Cf	98	249.074847	0
		250.0764	0
		251.07958	1
		252.08162	0
Es	99	252.08297	1
Fm	100	257.095099	1
Md	101	256.09405	0
		258.098425	1
No	102	259.10102	1
Lr	103	262.10969	1
Rf	104	261.10875	1
Db	105	262.11415	1
Sg	106	266.12193	1
Bh	107	264.12473	1
Hs	108	277	1
Mt	109	268.13882	1
