MoleculeListName,Molecule,MolecularFormula,PrecursorMz,PrecursorAdduct,PrecursorCharge,ProductName,ProductMz,ProductCharge,ExplicitRetentionTime,ExplicitRetentionTimeWindow,TransitionNote
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b046_z006_m03,511.079682718053,6,44.72,0.710000000000001,C126H210N34O54S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z002_m00,1573.23639681644,2,44.72,0.710000000000001,C129H211N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z002_m01,1573.73786077334,2,44.72,0.710000000000001,C129H211N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z002_m02,1574.23922504897,2,44.72,0.710000000000001,C129H211N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z002_m03,1574.74050986655,2,44.72,0.710000000000001,C129H211N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z002_m04,1575.24175614141,2,44.72,0.710000000000001,C129H211N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z003_m00,1049.16002336169,3,44.72,0.710000000000001,C129H212N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z003_m01,1049.49433272327,3,44.72,0.710000000000001,C129H212N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z003_m02,1049.82857562221,3,44.72,0.710000000000001,C129H212N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z003_m03,1050.16276554558,3,44.72,0.710000000000001,C129H212N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z003_m04,1050.4969297597,3,44.72,0.710000000000001,C129H212N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z004_m00,787.121836634316,4,44.72,0.710000000000001,C129H213N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z004_m01,787.372568698234,4,44.72,0.710000000000001,C129H213N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z004_m02,787.623250908826,4,44.72,0.710000000000001,C129H213N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z004_m03,787.873893385111,4,44.72,0.710000000000001,C129H213N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z004_m04,788.124516568855,4,44.72,0.710000000000001,C129H213N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z005_m00,629.898924597891,5,44.72,0.710000000000001,C129H214N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z005_m01,630.099510283212,5,44.72,0.710000000000001,C129H214N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z005_m02,630.300056080796,5,44.72,0.710000000000001,C129H214N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z005_m03,630.500570088837,5,44.72,0.710000000000001,C129H214N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z005_m04,630.701068654355,5,44.72,0.710000000000001,C129H214N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z006_m00,525.083649906941,6,44.72,0.710000000000001,C129H215N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z006_m01,525.250804673197,6,44.72,0.710000000000001,C129H215N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z006_m02,525.417926195443,6,44.72,0.710000000000001,C129H215N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z006_m03,525.585021224663,6,44.72,0.710000000000001,C129H215N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b047_z006_m04,525.752103378027,6,44.72,0.710000000000001,C129H215N35O56S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z002_m00,1637.28387832529,2,44.72,0.710000000000001,C135H223N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z002_m01,1637.78534160659,2,44.72,0.710000000000001,C135H223N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z002_m02,1638.2867111604,2,44.72,0.710000000000001,C135H223N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z002_m03,1638.78800311169,2,44.72,0.710000000000001,C135H223N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z002_m04,1639.28925463916,2,44.72,0.710000000000001,C135H223N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z003_m00,1091.85834436759,3,44.72,0.710000000000001,C135H224N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z003_m01,1092.19265327629,3,44.72,0.710000000000001,C135H224N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z003_m02,1092.52689969218,3,44.72,0.710000000000001,C135H224N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z003_m03,1092.86109437094,3,44.72,0.710000000000001,C135H224N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z003_m04,1093.19526208532,3,44.72,0.710000000000001,C135H224N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z004_m00,819.145577388741,4,44.72,0.710000000000001,C135H225N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z004_m01,819.396309111136,4,44.72,0.710000000000001,C135H225N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z004_m02,819.64699395807,4,44.72,0.710000000000001,C135H225N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z004_m03,819.897640000573,4,44.72,0.710000000000001,C135H225N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z004_m04,820.148265808412,4,44.72,0.710000000000001,C135H225N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z005_m00,655.517917201431,5,44.72,0.710000000000001,C135H226N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z005_m01,655.718502612043,5,44.72,0.710000000000001,C135H226N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z005_m02,655.919050517604,5,44.72,0.710000000000001,C135H226N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z005_m03,656.119567378364,5,44.72,0.710000000000001,C135H226N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z005_m04,656.320068042274,5,44.72,0.710000000000001,C135H226N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z006_m00,546.432810409891,6,44.72,0.710000000000001,C135H227N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z006_m01,546.599964945981,6,44.72,0.710000000000001,C135H227N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z006_m02,546.767088223959,6,44.72,0.710000000000001,C135H227N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z006_m03,546.934185630232,6,44.72,0.710000000000001,C135H227N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b048_z006_m04,547.101269531522,6,44.72,0.710000000000001,C135H227N37O57S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z002_m00,1672.80243521919,2,44.72,0.710000000000001,C138H228N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z002_m01,1673.30389817009,2,44.72,0.710000000000001,C138H228N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z002_m02,1673.80526946623,2,44.72,0.710000000000001,C138H228N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z002_m03,1674.30656389156,2,44.72,0.710000000000001,C138H228N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z002_m04,1674.8078172528,2,44.72,0.710000000000001,C138H228N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z003_m00,1115.53738229686,3,44.72,0.710000000000001,C138H229N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z003_m01,1115.87169098412,3,44.72,0.710000000000001,C138H229N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z003_m02,1116.20593856065,3,44.72,0.710000000000001,C138H229N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z003_m03,1116.54013488833,3,44.72,0.710000000000001,C138H229N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z003_m04,1116.87430382457,3,44.72,0.710000000000001,C138H229N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z004_m00,836.904855835691,4,44.72,0.710000000000001,C138H230N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z004_m01,837.155587391135,4,44.72,0.710000000000001,C138H230N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z004_m02,837.406273107864,4,44.72,0.710000000000001,C138H230N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z004_m03,837.656920386731,4,44.72,0.710000000000001,C138H230N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z004_m04,837.90754711046,4,44.72,0.710000000000001,C138H230N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z005_m00,669.725339958991,5,44.72,0.710000000000001,C138H231N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z005_m01,669.925925235342,5,44.72,0.710000000000001,C138H231N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z005_m02,670.12647383619,5,44.72,0.710000000000001,C138H231N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z005_m03,670.326991685779,5,44.72,0.710000000000001,C138H231N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z005_m04,670.527493082003,5,44.72,0.710000000000001,C138H231N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z006_m00,558.272329374524,6,44.72,0.710000000000001,C138H232N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z006_m01,558.439483798146,6,44.72,0.710000000000001,C138H232N38O58S0
Lc_136_195,Lc_136_195_K145_K188_K190,C302H464N80O107S,1160.224722,[M+6H],6,b018_b049_z006_m02,558.606607655075,6,44.72,0.710000000000001,C138H232N38O58S0
